VOTERPRE2012,PctPoorPersons_1980,PctPoorPersons_1990,PctPoorPersons_2000,PctPoorPersons_2011_15,PctPoorChildren_1990,PctPoorChildren_2000,PctPoorChildren_2011_15,PctPoorElderly_1990,PctPoorElderly_2000,PctPoorElderly_2011_15,PctUnemployed_1980,PctUnemployed_1990,PctUnemployed_2000,PctUnemployed_2011_15,Pct16andOverEmployed_1980,Pct16andOverEmployed_1990,Pct16andOverEmployed_2000,Pct16andOverEmployed_2011_15,Pct25andOverWoutHS_1980,Pct25andOverWoutHS_1990,Pct25andOverWoutHS_2000,Pct25andOverWoutHS_2011_15,PctHshldPhone_2000,PctHshldPhone_2011_15,PctHshldCar_2000,PctHshldCar_2011_15,AvgFamilyIncAdj_1980,AvgFamilyIncAdj_1990,AvgFamilyIncAdj_2000,AvgFamilyIncAdj_2011_15,PctChgAvgFamilyIncAdj_1980_1990,PctChgAvgFamilyIncAdj_1990_2000,PctChgAvgFamilyIncA_2000_2011_15,fs_client_2000,fs_client_2001,fs_client_2002,fs_client_2003,fs_client_2004,fs_client_2005,fs_client_2006,fs_client_2007,fs_client_2008,fs_client_2009,fs_client_2010,fs_client_2011,fs_client_2012,fs_client_2013,fs_client_2014,fs_client_2015,fs_client_2016,tanf_client_2000,tanf_client_2001,tanf_client_2002,tanf_client_2003,tanf_client_2004,tanf_client_2005,tanf_client_2006,tanf_client_2007,tanf_client_2008,tanf_client_2009,tanf_client_2010,tanf_client_2011,tanf_client_2012,tanf_client_2013,tanf_client_2014,tanf_client_2015,tanf_client_2016,Rate_crimes_pt1_violent_2000,Rate_crimes_pt1_violent_2001,Rate_crimes_pt1_violent_2002,Rate_crimes_pt1_violent_2003,Rate_crimes_pt1_violent_2004,Rate_crimes_pt1_violent_2005,Rate_crimes_pt1_violent_2006,Rate_crimes_pt1_violent_2007,Rate_crimes_pt1_violent_2008,Rate_crimes_pt1_violent_2009,Rate_crimes_pt1_violent_2010,Rate_crimes_pt1_violent_2011,Rate_crimes_pt1_violent_2012,Rate_crimes_pt1_violent_2013,Rate_crimes_pt1_violent_2014,Rate_crimes_pt1_violent_2015,Rate_crimes_pt1_violent_2016,Rate_crimes_pt1_property_2000,Rate_crimes_pt1_property_2001,Rate_crimes_pt1_property_2002,Rate_crimes_pt1_property_2003,Rate_crimes_pt1_property_2004,Rate_crimes_pt1_property_2005,Rate_crimes_pt1_property_2006,Rate_crimes_pt1_property_2007,Rate_crimes_pt1_property_2008,Rate_crimes_pt1_property_2009,Rate_crimes_pt1_property_2010,Rate_crimes_pt1_property_2011,Rate_crimes_pt1_property_2012,Rate_crimes_pt1_property_2013,Rate_crimes_pt1_property_2014,Rate_crimes_pt1_property_2015,Rate_crimes_pt1_property_2016
Precinct 134,26,30,40,50,43,55,63,22,39,38,7.2,15,19,25,59,49,44,35,41,41,31,17,97,95,51,51,47789,46794,45820,50043,-2.1,-2.1,9.2,995,983,1012,1079,1135,1125,1029,1022,1061,1234,1408,1611,1753,1822,1808,1778,1639,602,694,728,688,671,630,524,524,581,642,687,681,705,701,737,698,655,32,31,30,34,36,29,28,30,25,25,27,20,24,26,19,18,10,39,45,53,56,44,37,33,61,45,49,44,43,42,45,41,38,21
Precinct 135,20,14,24,9.5,12,35,6.1,15,23,6.9,8.6,10,14,6.3,51,59,53,80,48,33,28,4.9,97,99,66,74,62174,74828,71977,133424,20,-3.8,85,522,496,495,533,575,609,511,523,520,608,637,770,745,721,633,599,507,291,269,277,269,309,300,232,235,241,230,217,236,213,186,165,146,137,14,16,16,15,9.8,12,9.3,10,13,14,7.3,6.8,8.1,7.3,4,6.6,11,38,50,44,64,47,38,42,38,36,29,39,38,45,33,43,43,31
Precinct 136,4.2,7,6,6.4,0,0,17,14,3.4,0,2.9,1.9,3.6,2.3,75,78,78,82,9.2,6.7,5.5,1.7,100,100,69,62,125213,145222,167285,226260,16,15,35,s,s,s,s,6,s,s,8,5,s,s,5,s,s,s,6,0,0,0,0,s,0,0,s,s,s,0,0,0,0,0,0,0,0,3.1,8.6,2.4,4.2,3.6,3.6,1.8,4.1,2.9,4.1,2.9,6.3,2.9,2.3,1.2,1.2,0,39,35,34,40,23,25,20,28,33,26,20,23,21,9.8,12,10,9.2
Precinct 137,33,17,21,13,21,31,27,20,42,45,12,13,4.6,3.7,48,56,66,83,48,33,26,5.6,97,96,59,64,49374,62968,62811,204232,28,-0.3,225,120,100,101,102,95,84,85,77,81,87,102,122,127,118,104,95,82,55,54,46,51,47,36,31,26,27,24,26,21,22,25,18,19,12,37,46,43,37,39,35,47,45,38,34,35,45,55,42,29,35,34,226,158,185,138,199,161,155,171,203,163,117,125,187,215,214,231,257
Precinct 138,8.4,5.2,8.2,6.7,0,4.4,6.1,6,3.2,0.4,4.7,0.9,1,3.4,55,69,71,78,11,6.5,2.6,1.6,100,98,81,74,190423,272430,297215,278837,43,9.1,-6.2,6,5,6,7,11,11,16,10,12,18,23,28,22,25,31,30,28,0,0,0,0,s,0,0,5,s,6,s,10,5,6,7,s,8,0.7,2,2.9,0.5,0.5,1.4,1.9,0.7,0.9,0.2,1.4,0.7,0,0.2,0.2,0,0,24,23,18,26,26,16,17,20,19,17,10,17,9.1,7.7,6.8,9.6,6.1
Precinct 139,22,22,24,18,0,5.8,0,44,43,38,8.5,10,10,10,46,44,37,43,47,43,34,17,100,99,58,69,78053,81869,69733,85413,4.9,-15,22,253,234,234,249,258,277,296,298,313,358,435,554,628,663,605,640,688,67,66,68,72,74,81,96,74,69,65,88,99,106,114,96,91,117,5.1,3.8,9.5,6.9,9.2,6.7,5,11,5.3,7.8,2.6,5.5,5.1,5.5,2.9,4.4,2.9,28,37,30,45,42,28,28,42,53,48,56,41,39,50,60,36,37
Precinct 140,21,14,21,24,17,26,38,33,18,21,7.9,11,19,17,60,63,45,51,42,33,32,12,96,99,61,61,57232,69615,65006,59906,22,-6.6,-7.8,533,537,607,714,715,816,842,830,881,973,1073,1181,1256,1245,1193,1205,1095,304,324,366,402,432,466,429,418,432,458,438,444,487,483,466,453,448,24,27,24,24,19,27,29,18,20,19,18,20,29,33,23,25,24,61,66,47,46,30,26,34,36,45,40,34,43,57,66,65,57,56
Precinct 141,23,12,13,7.3,20,34,16,33,24,24,5.3,2.8,3.3,5,60,78,80,85,31,23,15,6,99,96,52,51,59110,90341,122304,137867,53,35,13,192,185,184,171,183,179,167,149,140,161,204,219,220,219,202,170,155,85,79,67,65,71,70,59,59,48,45,50,42,42,45,35,25,21,13,11,7.8,8.6,9.1,8.4,8.7,13,8.5,8.6,9.1,6.8,7,10,5.7,3.9,4.4,46,47,50,53,46,41,57,50,47,56,42,57,67,55,75,67,69
Precinct 142,3.7,5.8,12,6.9,0,38,30,6.5,8.6,3.1,2.9,2.8,4.8,5.2,84,78,71,75,3.6,2.6,5.3,5.3,98,97,67,66,149921,120656,118261,138594,-20,-2,17,35,33,44,38,54,45,40,38,44,40,53,55,56,60,45,50,46,16,16,21,21,22,19,12,10,12,11,10,8,7,7,s,s,s,15,18,15,12,11,15,23,15,12,11,11,13,5.7,10,7.2,5.3,4.8,159,166,101,88,102,106,117,87,87,93,67,67,71,71,77,66,65
Precinct 143,25,40,33,15,19,33,15,64,56,27,10,19,14,5.4,59,46,56,76,42,38,33,9.4,98,98,45,45,70398,39521,106929,185830,-44,171,74,467,409,456,573,638,645,593,411,334,346,355,385,377,371,344,339,306,48,39,44,47,47,40,32,29,16,15,15,19,25,24,23,21,20,31,27,24,22,12,10,11,13,12,8.9,8.1,11,11,8.4,9.1,8.6,9.6,273,199,175,105,64,58,69,65,56,48,43,57,73,63,72,58,76
